"Imation 3.5  DS/HD IBM Formatted Diskettes, 10/Pack",Don Miller,2277,5.98,Computer Peripherals
"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Don Miller,2277,40.99,Paper
Self-Adhesive Address Labels for Typewriters by Universal,Alan Barnes,2532,7.31,Labels
Accessory37,Alan Barnes,2532,20.99,Telephones and Communication
Fuji 5.2GB DVD-RAM,Jack Garza,2631,40.96,Computer Peripherals
Bevis Steel Folding Chairs,Julia West,2757,95.95,Chairs & Chairmats
Avery Binder Labels,Eugene Barchas,2791,3.89,Binders and Binder Accessories
Hon Every-Day® Chair Series Swivel Task Chairs,Eugene Barchas,2791,120.98,Chairs & Chairmats
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11 , Case",Eugene Barchas,2791,30.98,Paper
Global Troy™ Executive Leather Low-Back Tilter,Edward Hooks,2976,500.98,Chairs & Chairmats
XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Brad Eason,3232,7.84,Binders and Binder Accessories
Computer Printout Paper with Letter-Trim Perforations,Nicole Hansen,3524,18.97,Paper
6160,Dorothy Wardle,3908,115.99,Telephones and Communication
Avery 49,Aaron Bergman,4132,2.88,Labels
Hoover Portapower™ Portable Vacuum,Jim Radford,4612,4.48,Appliances
Timeport L7089,Annie Cyprus,4676,125.99,Telephones and Communication
Avery 510,Annie Cyprus,4676,3.75,Labels
Xerox 1881,Annie Cyprus,4676,12.28,Paper
LX 788,Annie Cyprus,4676,155.99,Telephones and Communication
"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Annie Cyprus,5284,8.69,Binders and Binder Accessories
"Memorex 4.7GB DVD-RAM, 3/Pack",Clay Rozendal,5316,31.78,Computer Peripherals
Unpadded Memo Slips,Don Jones,5409,3.98,Paper
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4 X8 1/2 , 300/Messages",Beth Thompson,5506,5.88,Paper
"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Frank Price,5569,9.65,Office Furnishings
Bell Sonecor JB700 Caller ID,Michelle Lonsdale,5607,7.99,Telephones and Communication
Avery Arch Ring Binders,Ann Chong,5894,58.1,Binders and Binder Accessories
APC 7 Outlet Network SurgeArrest Surge Protector,Ann Chong,5894,80.48,Appliances
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Joy Bell,5925,92.23,Office Furnishings
Accessory4,Joy Bell,5925,85.99,Telephones and Communication
Personal Creations™ Ink Jet Cards and Labels,Skye Norling,6016,11.48,Paper
High Speed Automatic Electric Letter Opener,Barry Weirich,6116,1637.53,"Scissors, Rulers and Trimmers"
Xerox 1966,Grant Carroll,6182,6.48,Paper
Xerox 213,Grant Carroll,6182,6.48,Paper
"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Adrian Hane,6535,28.15,Pens & Art Supplies
Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Skye Norling,6884,4.98,Paper
"Telephone Message Books with Fax/Mobile Section, 5 1/2  x 3 3/16 ",Skye Norling,6884,6.35,Paper
Crate-A-Files™,Andrew Gjertsen,6916,10.9,Storage & Organization
"Angle-D Binders with Locking Rings, Label Holders",Ralph Knight,6980,7.3,Binders and Binder Accessories
"80 Minute CD-R Spindle, 100/Pack - Staples",Dorothy Wardle,6982,39.48,Computer Peripherals
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Dorothy Wardle,6982,100.98,Bookcases
12-1/2 Diameter Round Wall Clock,Dorothy Wardle,6982,19.98,Office Furnishings
SAFCO Arco Folding Chair,Grant Carroll,7110,276.2,Chairs & Chairmats
"#10 White Business Envelopes,4 1/8 x 9 1/2",Barry Weirich,7430,15.67,Envelopes
3M Office Air Cleaner,Beth Paige,7906,25.98,Appliances
"Global Leather and Oak Executive Chair, Black",Sylvia Foulston,8391,300.98,Chairs & Chairmats
Xerox 1936,Nicole Hansen,8419,19.98,Paper
Xerox 214,Nicole Hansen,8419,6.48,Paper
Carina Double Wide Media Storage Towers in Natural & Black,Nicole Hansen,8833,80.98,Storage & Organization
Staples® General Use 3-Ring Binders,Beth Paige,8995,1.88,Binders and Binder Accessories
Xerox 1904,Beth Paige,8995,6.48,Paper
Luxo Professional Combination Clamp-On Lamps,Beth Paige,8995,102.3,Office Furnishings
Xerox 217,Beth Paige,8995,6.48,Paper
Revere Boxed Rubber Bands by Revere,Beth Paige,8995,1.89,Rubber Bands
"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Sylvia Foulston,9126,62.05,Appliances
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Bryan Davis,9127,279.48,Storage & Organization
Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Joy Bell,9509,320.98,Chairs & Chairmats
Xerox 1887,Joy Bell,9509,18.97,Paper
Xerox 1891,Joy Bell,9509,48.91,Paper
Avery 506,Alan Barnes,9763,4.13,Labels
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Grant Carroll,9927,140.98,Bookcases
"Lifetime Advantage™ Folding Chairs, 4/Carton",Grant Carroll,9927,218.08,Chairs & Chairmats
Microsoft Natural Multimedia Keyboard,Grant Carroll,9927,50.98,Computer Peripherals
"Staples Wirebound Steno Books, 6  x 9 , 12/Pack",Delfina Latchford,10022,10.14,Paper
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2  x 11 ",Don Jones,10437,15.99,Binders and Binder Accessories
Bevis Boat-Shaped Conference Table,Doug Bickford,10499,262.11,Tables
Linden® 12  Wall Clock With Oak Frame,Doug Bickford,10535,33.98,Office Furnishings
Newell 326,Doug Bickford,10535,1.76,Pens & Art Supplies
Prismacolor Color Pencil Set,Jamie Kunitz,10789,19.84,Pens & Art Supplies
Xerox Blank Computer Paper,Anthony Johnson,10791,19.98,Paper
600 Series Flip,Ralph Knight,10945,95.99,Telephones and Communication
Fellowes Recycled Storage Drawers,Allen Rosenblatt,11137,111.03,Storage & Organization
Satellite Sectional Post Binders,Barry Weirich,11202,43.41,Binders and Binder Accessories
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Doug Bickford,11456,105.34,Office Furnishings
Avery 487,Carl Jackson,11460,3.69,Labels
Bevis Round Conference Table Top & Single Column Base,Brendan Dodson,11495,146.34,Tables
"GBC Twin Loop™ Wire Binding Elements, 9/16  Spine, Black",Edward Hooks,11911,15.22,Binders and Binder Accessories
Hanging Personal Folder File,Jamie Kunitz,11941,15.7,Storage & Organization
"Bevis Round Conference Table Top, X-Base",Jamie Kunitz,11941,179.29,Tables
5125,Michelle Lonsdale,12096,200.99,Telephones and Communication
Electrix Halogen Magnifier Lamp,Michelle Lonsdale,12096,194.3,Office Furnishings
Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Brendan Dodson,12289,120.97,Office Machines
Fellowes Black Plastic Comb Bindings,Hunter Glantz,12352,5.81,Binders and Binder Accessories
Polycom ViewStation™ Adapter H323 Videoconferencing Unit,Sylvia Foulston,12419,1938.02,Office Machines
Hon GuestStacker Chair,Eugene Barchas,12485,226.67,Chairs & Chairmats
Eldon® Wave Desk Accessories,Jim Radford,12544,2.08,Office Furnishings
Sharp AL-1530CS Digital Copier,Carlos Soltero,12704,499.99,Copiers and Fax
"Tennsco Lockers, Gray",Carlos Soltero,12704,20.98,Storage & Organization
"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Carlos Soltero,12771,30.53,Labels
Newell 323,Carlos Soltero,12771,1.68,Pens & Art Supplies
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Jim Radford,12929,270.98,Chairs & Chairmats
Spiral Phone Message Books with Labels by Adams,Jim Radford,12929,4.48,Paper
Crate-A-Files™,Grant Carroll,13280,10.9,Storage & Organization
Bell Sonecor JB700 Caller ID,Grant Carroll,13280,7.99,Telephones and Communication
Holmes 99% HEPA Air Purifier,Skye Norling,13313,21.66,Appliances
Xerox 224,Doug Bickford,13346,6.48,Paper
Xerox 1906,Grant Carroll,13702,35.44,Paper
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2  x 11 ",Muhammed MacIntyre,13795,15.99,Binders and Binder Accessories
Xerox 188,Muhammed MacIntyre,13795,11.34,Paper
Xerox 1932,Muhammed MacIntyre,13795,35.44,Paper
GBC Linen Binding Covers,Doug Bickford,14116,30.98,Binders and Binder Accessories
GBC Recycled Grain Textured Covers,Doug Bickford,14116,34.54,Binders and Binder Accessories
"Sauder Facets Collection Library, Sky Alder Finish",Beth Thompson,14372,170.98,Bookcases
"Fellowes Basic 104-Key Keyboard, Platinum",Ralph Knight,14726,20.95,Computer Peripherals
Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Carl Jackson,14819,207.48,Appliances
O'Sullivan 3-Shelf Heavy-Duty Bookcases,Carl Jackson,14819,58.14,Bookcases
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Dorothy Badders,15106,6.64,Office Furnishings
Panasonic KX-P1150 Dot Matrix Printer,Dorothy Badders,15106,145.45,Office Machines
Newell 327,Dorothy Badders,15106,2.21,Pens & Art Supplies
Xerox 1893,Delfina Latchford,15108,40.99,Paper
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Julia West,15205,243.98,Chairs & Chairmats
Eldon Radial Chair Mat for Low to Medium Pile Carpets,Julia West,15205,39.98,Office Furnishings
"DAX Copper Panel Document Frame, 5 x 7 Size",Brad Eason,15591,12.58,Office Furnishings
O'Sullivan 2-Shelf Heavy-Duty Bookcases,Thomas Seio,15907,48.58,Bookcases
"Tenex 46  x 60  Computer Anti-Static Chairmat, Rectangular Shaped",Thomas Seio,15907,105.98,Office Furnishings
"Wirebound Message Books, 2 7/8  x 5 , 3 Forms per Page",Thomas Seio,15907,7.04,Paper
"Memorex Slim 80 Minute CD-R, 10/Pack",Monica Federle,15937,9.78,Computer Peripherals
Aluminum Document Frame,Monica Federle,15937,12.22,Office Furnishings
"Memorex 80 Minute CD-R Spindle, 100/Pack",Michelle Lonsdale,16039,43.98,Computer Peripherals
"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Frank Price,16193,34.76,Storage & Organization
Accessory36,Frank Price,16193,55.99,Telephones and Communication
Xerox 20,Bryan Davis,16423,6.48,Paper
Surelock™ Post Binders,Don Jones,16451,30.56,Binders and Binder Accessories
Colorific® Watercolor Pencils,Carlos Soltero,16545,5.16,Pens & Art Supplies
"*Staples* vLetter Openers, 2/Pack",Carlos Soltero,16545,3.68,"Scissors, Rulers and Trimmers"
Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Nicole Hansen,16547,355.98,Chairs & Chairmats
BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Nicole Hansen,16547,218.75,Tables
Eldon Econocleat® Chair Mats for Low Pile Carpets,Beth Thompson,16706,41.47,Office Furnishings
Prang Drawing Pencil Set,Beth Thompson,16706,2.78,Pens & Art Supplies
T39m,Beth Thompson,16706,155.99,Telephones and Communication
Xerox 1982,Nicole Hansen,16741,22.84,Paper
Xerox 1924,Carlos Soltero,16932,5.78,Paper
Turquoise Lead Holder with Pocket Clip,Carlos Soltero,16932,6.7,Pens & Art Supplies
Okidata ML395C Color Dot Matrix Printer,Dorothy Badders,17283,1360.14,Office Machines
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Muhammed MacIntyre,17286,270.98,Chairs & Chairmats
Microsoft Internet Keyboard,Muhammed MacIntyre,17409,20.97,Computer Peripherals
Xerox 1982,Don Miller,17764,22.84,Paper
Global Ergonomic Managers Chair,Sylvia Foulston,18080,180.98,Chairs & Chairmats
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Becky Castell,18113,130.98,Chairs & Chairmats
Xerox 1971,Dorothy Wardle,18144,4.28,Paper
Eldon Portable Mobile Manager,Dorothy Wardle,18144,28.28,Storage & Organization
Accessory6,Dorothy Wardle,18144,55.99,Telephones and Communication
Durable Pressboard Binders,Ann Chong,18308,3.8,Binders and Binder Accessories
Fellowes 17-key keypad for PS/2 interface,Ann Chong,18308,30.73,Computer Peripherals
StarTAC ST7762,Ann Chong,18308,125.99,Telephones and Communication
Accessory21,Clay Rozendal,18887,20.99,Telephones and Communication
Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Grant Carroll,19010,1270.99,Binders and Binder Accessories
Staples 6 Outlet Surge,Brendan Dodson,19078,11.97,Appliances
Recycled Eldon Regeneration Jumbo File,Carlos Daly,19138,12.28,Storage & Organization
Verbatim DVD-R 4.7GB authoring disc,Alan Barnes,19655,39.24,Computer Peripherals
Canon P1-DHIII Palm Printing Calculator,Alan Barnes,19686,17.98,Office Machines
GBC Binding covers,Alan Barnes,19686,12.95,Binders and Binder Accessories
Newell 323,Nicole Hansen,20007,1.68,Pens & Art Supplies
"Global Stack Chair without Arms, Black",Cari Schnelling,20071,25.98,Chairs & Chairmats
Speediset Carbonless Redi-Letter® 7  x 8 1/2 ,Chad Cunningham,20160,10.31,Paper
GBC Recycled Regency Composition Covers,Bryan Mills,20263,59.78,Binders and Binder Accessories
Accessory29,Bryan Mills,20263,20.99,Telephones and Communication
Newell 323,Adrian Hane,21285,1.68,Pens & Art Supplies
SANFORD Major Accent™ Highlighters,Adrian Hane,21285,7.08,Pens & Art Supplies
Polycom ViaVideo™ Desktop Video Communications Unit,Rick Reed,21383,574.74,Office Machines
"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Heather Kirkland,21607,36.55,Pens & Art Supplies
Accessory24,Fred Wasserman,21636,55.99,Telephones and Communication
Howard Miller 13-3/4  Diameter Brushed Chrome Round Wall Clock,Becky Castell,21889,51.75,Office Furnishings
Recycled Steel Personal File for Standard File Folders,Becky Castell,21889,55.29,Storage & Organization
"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Beth Thompson,22151,9.65,Office Furnishings
Accessory39,Claudia Miner,22342,20.99,Telephones and Communication
Bell Sonecor JB700 Caller ID,Jack Lebron,22469,7.99,Telephones and Communication
#10- 4 1/8  x 9 1/2  Security-Tint Envelopes,Alan Barnes,22501,7.64,Envelopes
GBC Standard Plastic Binding Systems Combs,Carlos Soltero,22532,8.85,Binders and Binder Accessories
Xerox 1930,Clay Rozendal,23264,6.48,Paper
Avery 474,Clay Rozendal,23264,2.88,Labels
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Julia West,23488,880.98,Bookcases
Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Alan Barnes,23584,200.97,Office Machines
"IBM 80 Minute CD-R Spindle, 50/Pack",Joy Bell,24007,20.89,Computer Peripherals
"Peel & Seel® Recycled Catalog Envelopes, Brown",Joy Bell,24007,11.58,Envelopes
Avery 506,Joy Bell,24007,4.13,Labels
Prang Drawing Pencil Set,Jack Lebron,24038,2.78,Pens & Art Supplies
TDK 4.7GB DVD+RW,Anthony Johnson,24097,14.48,Computer Peripherals
U.S. Robotics 56K Internet Call Modem,Anthony Johnson,24097,99.99,Computer Peripherals
Xerox 190,Anthony Johnson,24097,4.98,Paper
Standard Line™ “While You Were Out” Hardbound Telephone Message Book,Eugene Barchas,24128,21.98,Paper
CF 888,Eugene Barchas,24128,195.99,Telephones and Communication
Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Thomas Seio,24294,200.97,Office Machines
Dana Halogen Swing-Arm Architect Lamp,Bryan Mills,24387,40.97,Office Furnishings
"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Bryan Mills,24387,349.45,Tables
Lexmark Z25 Color Inkjet Printer,Eugene Barchas,24515,80.97,Office Machines
Hon Multipurpose Stacking Arm Chairs,Sylvia Foulston,24743,216.6,Chairs & Chairmats
Hon Olson Stacker Stools,Sylvia Foulston,24743,140.81,Chairs & Chairmats
Executive Impressions 14  Two-Color Numerals Wall Clock,Carl Ludwig,24871,22.72,Office Furnishings
12-1/2 Diameter Round Wall Clock,Julia West,25318,19.98,Office Furnishings
Epson DFX5000+ Dot Matrix Printer,Don Jones,25377,1500.97,Office Machines
"Fellowes Basic 104-Key Keyboard, Platinum",Mike Pelletier,25634,20.95,Computer Peripherals
"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Mike Pelletier,25634,23.99,Envelopes
GBC Standard Therm-A-Bind Covers,Eugene Barchas,25733,24.92,Binders and Binder Accessories
"80 Minute CD-R Spindle, 100/Pack - Staples",Ann Chong,25767,39.48,Computer Peripherals
Xerox 1892,Ann Chong,25767,38.76,Paper
Staples Paper Clips,Charles McCrossin,26023,2.47,Rubber Bands
"Metal Folding Chairs, Beige, 4/Carton",Annie Cyprus,26051,33.94,Chairs & Chairmats
"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Annie Cyprus,26051,8.33,Computer Peripherals
Computer Printout Paper with Letter-Trim Perforations,Carlos Soltero,26116,18.97,Paper
Bush Mission Pointe Library,Doug Bickford,26182,150.98,Bookcases
Hon Olson Stacker Stools,Carlos Daly,26272,140.81,Chairs & Chairmats
Xerox 1929,Fred Wasserman,26370,22.84,Paper
Home/Office Personal File Carts,Fred Wasserman,26370,34.76,Storage & Organization
Avery 507,Sylvia Foulston,26499,2.88,Labels
i470,Michelle Lonsdale,26531,205.99,Telephones and Communication
3M Organizer Strips,Sylvia Foulston,26567,5.4,Binders and Binder Accessories
"Imation 3.5 IBM Diskettes, 10/Box",Sylvia Foulston,26567,8.46,Computer Peripherals
"GE 4 Foot Flourescent Tube, 40 Watt",Sylvia Foulston,26567,14.98,Office Furnishings
300 Series Non-Flip,Sylvia Foulston,26567,155.99,Telephones and Communication
Executive Impressions 13  Chairman Wall Clock,Charlotte Melton,26854,25.38,Office Furnishings
Micro Innovations 104 Keyboard,Barry French,27109,10.97,Computer Peripherals
US Robotics 56K V.92 External Faxmodem,Heather Kirkland,27111,99.99,Computer Peripherals
Fellowes Staxonsteel® Drawer Files,Heather Kirkland,27111,193.17,Storage & Organization
Accessory39,Heather Kirkland,27111,20.99,Telephones and Communication
Telescoping Adjustable Floor Lamp,Henry Goldwyn,27264,19.99,Office Furnishings
Canon MP41DH Printing Calculator,Frank Price,27392,150.98,Office Machines
"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Jim Radford,27553,370.98,Storage & Organization
VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Jim Radford,27553,179.99,Telephones and Communication
"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Ralph Knight,27555,6.74,Paper
Belkin 6 Outlet Metallic Surge Strip,Delfina Latchford,27680,10.89,Appliances
Xerox 21,Delfina Latchford,27680,6.48,Paper
GBC DocuBind TL200 Manual Binding Machine,Roy Skaria,27778,223.98,Binders and Binder Accessories
"Sauder Forest Hills Library, Woodland Oak Finish",Roy Skaria,27778,140.98,Bookcases
Xerox 1940,Monica Federle,27909,54.96,Paper
Bagged Rubber Bands,Monica Federle,27909,1.26,Rubber Bands
Xerox 1897,Charles McCrossin,28003,4.98,Paper
Poly Designer Cover & Back,Don Miller,28035,18.99,Binders and Binder Accessories
Bionaire Personal Warm Mist Humidifier/Vaporizer,Jeremy Lonsdale,28135,46.89,Appliances
Acme® 8  Straight Scissors,Jeremy Lonsdale,28135,12.98,"Scissors, Rulers and Trimmers"
Heavy-Duty E-Z-D® Binders,Grant Carroll,28165,10.91,Binders and Binder Accessories
Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Carl Ludwig,28289,4.98,Paper
Deluxe Rollaway Locking File with Drawer,Carlos Daly,28486,415.88,Storage & Organization
252,Ralph Knight,28675,65.99,Telephones and Communication
6160,Cindy Schnelling,28870,115.99,Telephones and Communication
"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Claudia Miner,28871,5.02,Computer Peripherals
Prismacolor Color Pencil Set,Roy Skaria,29030,19.84,Pens & Art Supplies
Wilson Jones DublLock® D-Ring Binders,Delfina Latchford,29095,6.75,Binders and Binder Accessories
Binder Posts,Edward Hooks,29287,5.74,Binders and Binder Accessories
Epson LQ-570e Dot Matrix Printer,Edward Hooks,29287,270.97,Office Machines
"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Don Miller,29510,260.98,Bookcases
Fellowes PB300 Plastic Comb Binding Machine,Grant Carroll,29795,387.99,Binders and Binder Accessories
Rush Hierlooms Collection Rich Wood Bookcases,Grant Carroll,29795,160.98,Bookcases
Avery 481,Brad Eason,29861,3.08,Labels
Sharp AL-1530CS Digital Copier,Charles McCrossin,30658,499.99,Copiers and Fax
"SAFCO Commercial Wire Shelving, Black",Charles McCrossin,30658,138.14,Storage & Organization
Avery Trapezoid Extra Heavy Duty 4  Binders,Charles McCrossin,30947,41.94,Binders and Binder Accessories
Self-Adhesive Address Labels for Typewriters by Universal,Charles McCrossin,30947,7.31,Labels
StarTAC Series,Bryan Mills,31077,65.99,Telephones and Communication
"Rediform Wirebound  Phone Memo  Message Book, 11 x 5-3/4",Monica Federle,31111,7.64,Paper
Dana Halogen Swing-Arm Architect Lamp,Michelle Lonsdale,31169,40.97,Office Furnishings
Global Comet™ Stacking Armless Chair,Michelle Lonsdale,31270,299.05,Chairs & Chairmats
Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Michelle Lonsdale,31270,291.73,Chairs & Chairmats
"Fellowes Internet Keyboard, Platinum",Michelle Lonsdale,31270,30.42,Computer Peripherals
Deluxe Rollaway Locking File with Drawer,Beth Thompson,31364,415.88,Storage & Organization
Luxo Economy Swing Arm Lamp,Cindy Schnelling,31393,19.94,Office Furnishings
"*Staples* vLetter Openers, 2/Pack",Cindy Schnelling,31393,3.68,"Scissors, Rulers and Trimmers"
Staples 6 Outlet Surge,Nicole Hansen,31492,11.97,Appliances
Acco Perma® 2700 Stacking Storage Drawers,Nicole Hansen,31492,29.74,Storage & Organization
Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Nicole Hansen,31492,95.43,Storage & Organization
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Cari Schnelling,31558,300.65,Appliances
"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Cari Schnelling,31558,45.19,Computer Peripherals
Lock-Up Easel 'Spel-Binder',Roy Skaria,31618,28.53,Binders and Binder Accessories
"Adams Write n' Stick Phone Message Book, 11  X 5 1/4 , 200 Messages",Susan Vittorini,31684,5.68,Paper
"Tenex File Box, Personal Filing Tote with Lid, Black",Susan Vittorini,31684,15.51,Storage & Organization
Fellowes Black Plastic Comb Bindings,Sylvia Foulston,31781,5.81,Binders and Binder Accessories
Assorted Color Push Pins,Sylvia Foulston,31781,1.81,Rubber Bands
HP Office Paper (20Lb. and 87 Bright),Chad Cunningham,32193,6.68,Paper
Staples Vinyl Coated Paper Clips,Chad Cunningham,32193,3.93,Rubber Bands
Canon MP41DH Printing Calculator,Carlos Daly,32229,150.98,Office Machines
Newell 310,Carlos Daly,32229,1.76,Pens & Art Supplies
Kensington 7 Outlet MasterPiece Power Center,Grant Carroll,32743,177.98,Appliances
"DAX Metal Frame, Desktop, Stepped-Edge",Julia West,32806,20.24,Office Furnishings
Bush Mission Pointe Library,Roy Skaria,33123,150.98,Bookcases
Accessory21,Cindy Schnelling,33159,20.99,Telephones and Communication
8860,Don Jones,33186,65.99,Telephones and Communication
Array® Memo Cubes,Beth Thompson,33377,5.18,Paper
"Fiskars 8  Scissors, 2/Pack",Beth Thompson,33377,17.24,"Scissors, Rulers and Trimmers"
12 Colored Short Pencils,Alan Barnes,33444,2.6,Pens & Art Supplies
Pizazz® Global Quick File™,Alan Barnes,33444,14.97,Storage & Organization
Imation 5.2GB DVD-RAM,Carl Ludwig,33703,60.98,Computer Peripherals
Acco Perma® 2700 Stacking Storage Drawers,Carl Ludwig,33703,29.74,Storage & Organization
Portable Personal File Box,Carl Ludwig,33703,12.21,Storage & Organization
"Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate",Jamie Kunitz,33734,29.14,Paper
Ibico Covers for Plastic or Wire Binding Elements,Heather Kirkland,33888,11.5,Binders and Binder Accessories
Hanging Personal Folder File,Heather Kirkland,33888,15.7,Storage & Organization
Tennsco Double-Tier Lockers,Heather Kirkland,33888,225.02,Storage & Organization
"Wirebound Message Books, Four 2 3/4  x 5  Forms per Page, 600 Sets per Book",Doug Bickford,33894,9.27,Paper
"Acme Design Line 8  Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8  Cut",Doug Bickford,33894,6.84,"Scissors, Rulers and Trimmers"
"Imation 3.5 , DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Doug Bickford,33894,4.98,Computer Peripherals
PC Concepts 116 Key Quantum 3000 Keyboard,Doug Bickford,33894,32.98,Computer Peripherals
Epson Stylus 1520 Color Inkjet Printer,Carlos Daly,33922,500.97,Office Machines
Avery 494,Toby Braunhardt,34177,2.61,Labels
Self-Adhesive Address Labels for Typewriters by Universal,Toby Braunhardt,34177,7.31,Labels
Accessory37,Toby Braunhardt,34177,20.99,Telephones and Communication
Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Cari Schnelling,34215,5.34,Binders and Binder Accessories
